=== Main Taxonomy Map ===

--- Artist ---
  Fictional-Kw-01d6ff5a: 3
  Fictional-Kw-6cbfb1bf: 1
  Fictional-MarbleHarbor: 2
  Fictional-LunarGarden: 1
  Fictional-SpectralRose: 1
  Fictional-ShadowNest: 5
  Fictional-ScarletSerpent: 4
  Fictional-TwilightRaven: 1
  Fictional-SolarSerpent: 1
  Fictional-StormSwan: 13
  Fictional-ThunderThorn: 1
  Fictional-QuartzVeil: 2
  Fictional-Kw-9dd03dcc: 4
  Fictional-BlazingLantern: 1
  Fictional-VelvetVeil: 20
  Fictional-SapphireOrchid: 1
  Fictional-SterlingBeacon: 1
  Fictional-VolcanicRiver: 83
  Fictional-ZincThorn: 1
  Fictional-Kw-380d4d4c: 20
  Fictional-ShadowWhisper: 1
  Fictional-ThistleSail: 1
  Fictional-TwilightFountain: 1
  Fictional-AzureFlame: 1
  Fictional-ObsidianIsle: 1
  Fictional-Kw-05d3e5ab: 2
  Fictional-FadingFalcon: 2
  Fictional-TimberWarden: 26
  Fictional-SilverSummit: 1
  Fictional-ShadowCanyon: 1
  Fictional-Kw-f9075c2b: 1
  Fictional-CobaltCanyon: 1
  Fictional-Kw-73c8ebb0: 6
  Fictional-Kw-73c8ebb0: 2
  Fictional-Kw-a46e45b9: 3
  Fictional-BrassCanyon: 1
  Fictional-PhantomCanyon: 1
  Fictional-GlassMirror: 1
  Fictional-IronFountain: 1
  Fictional-StormMesa: 7
  Fictional-ScarletGarden: 1
  Fictional-CrimsonTower: 21
  Fictional-BlazingVeil: 1
  Fictional-QuartzTrail: 3
  Fictional-ScarletDrifter: 1
  Fictional-SapphireGlacier: 1
  Fictional-SterlingHelix: 64

--- Genre ---
  AlternativeMetal: 27
  AlternativeRock: 93
  AnimeOST: 35
  BrazilianRock: 25
  Britpop: 3
  CityPop: 12
  Classical: 1
  ClassicRock: 77
  Disco: 19
  EDM: 6
  Electronic: 2
  Emo: 12
  Eurodance: 3
  FilmOST: 20
  FolkMetal: 7
  FolkRock: 12
  Forro: 1
  Funk: 30
  FunkRock: 38
  GameOST: 291
  GlamRock: 6
  GothicMetal: 3
  Grunge: 41
  HardcorePunk: 7
  HardRock: 40
  HeavyMetal: 12
  HipHop: 3
  IndustrialMetal: 7
  JazzFusion: 16
  JPop: 28
  JRock: 7
  KPop: 5
  MedievalFolk: 5
  Metalcore: 36
  MPB: 72
  NuMetal: 52
  Orchestral: 24
  Pagode: 14
  Pop: 84
  PopPunk: 34
  PostGrunge: 82
  PowerMetal: 9
  ProgressiveRock: 28
  PsychedelicRock: 4
  PunkRock: 19
  RnB: 34
  Rock: 5
  RockAndRoll: 3
  Soul: 55
  SouthernRock: 2
  ThrashMetal: 3
  TraditionalChinese: 4
  TraditionalJapanese: 2
  TraditionalKorean: 3
  Trance: 5

--- Mood ---
  Adventurous: 63
  Aggressive: 79
  Ambient: 17
  Chill: 537
  Cinematic: 29
  Dark: 53
  Emotional: 128
  Energetic: 117
  Epic: 81
  Ethereal: 45
  Gaming: 236
  Introspective: 61
  Melancholic: 86
  Mysterious: 31
  Nostalgic: 245
  Party: 44
  Rebellious: 57
  Romantic: 72
  Serene: 14
  StudyFocus: 51
  Triumphant: 56
  Upbeat: 96
  Workout: 70
